outrun|(1, [138622])
entangle|(8, [4649, 5208, 12147, 66730, 144646, 165133, 205820, 256834])
re-heated|(1, [31826])
cork|(2, [317776, 323220])
hans|(1, [18369])
dislike|(1, [313159])
discourage|(7, [56958, 74807, 213360, 224007, 226005, 292512, 310308])
exalt|(7, [104899, 151120, 173128, 259459, 303361, 343016, 356556])
educe|(3, [86929, 118823, 254631])
interpose|(6, [24685, 26176, 30526, 83151, 271362, 288174])
translating|(1, [32998])
march|(1, [233512])
batten|(1, [98392])
flourish|(4, [35523, 50883, 92858, 319240])
strive|(4, [138846, 172637, 240465, 308459])
italicize|(1, [20756])
telegraph|(1, [335052])
adieu|(1, [134766])
uniformly|(1, [224268])
sicken|(4, [100173, 252746, 328733, 356610])
fxxl|(1, [281477])
prettiest|(1, [338772])
intrench|(1, [246935])
feered|(1, [25675])
mystify|(2, [86584, 102492])
mon|(1, [48678])
trample|(5, [56068, 65107, 66552, 66612, 230736])
latticed|(1, [46734])
exceed|(36, [6356, 6371, 16199, 21391, 27318, 29208, 78690, 104525, 118974, 121111, 121157, 140426, 148890, 149721, 157362, 157981, 173728, 174497, 184248, 225967, 228037, 237661, 241390, 242472, 259420, 262895, 263075, 263098, 267724, 284258, 315676, 325761, 341636, 342902, 359345, 359854])
bigoted|(1, [320431])
affect|(31, [2401, 100933, 111145, 116125, 146883, 165533, 166142, 170331, 198429, 206837, 209547, 210751, 210906, 228008, 232527, 242982, 243641, 282772, 286349, 289232, 289670, 298345, 329298, 344482, 356335, 356880, 357272, 357742, 357757, 357905, 359983])
manage|(19, [3665, 3778, 7178, 38946, 73233, 82706, 89950, 175520, 176836, 179037, 202633, 204961, 258661, 285624, 300112, 301415, 305925, 321784, 349010])
au|(1, [300885])
taper|(2, [16455, 141298])
predict|(2, [296367, 359888])
suffuse|(2, [53808, 307489])
sound|(13, [25112, 39571, 84267, 125726, 133616, 169335, 197513, 225712, 225782, 277072, 296491, 299648, 355286])
tempt|(7, [24287, 95290, 160150, 183515, 226754, 310181, 334669])
indeterminate|(1, [59370])
rest|(32, [5136, 20665, 25804, 28778, 95236, 113308, 120367, 132945, 135407, 139895, 147310, 151380, 153084, 169493, 174151, 201536, 206198, 207951, 208951, 213322, 213549, 240228, 267799, 267929, 268932, 296586, 307173, 316806, 348036, 361139, 361183, 361217])
entitle|(15, [36743, 51734, 74105, 103439, 104359, 119214, 255157, 264441, 269784, 270881, 296712, 296832, 298697, 332269, 348673])
totter|(14, [15604, 39184, 78832, 79137, 100579, 123910, 143748, 163791, 167646, 240794, 251673, 283088, 291967, 323873])
strain|(6, [40278, 92273, 139211, 143378, 250824, 327706])
uninjured|(1, [5647])
progress|(3, [38535, 59401, 190308])
faint|(5, [4692, 257369, 266145, 312188, 324035])
dem|(1, [23644])
profound|(4, [39780, 104913, 173114, 252086])
impend|(3, [31298, 68843, 143354])
ademptum|(1, [287916])
confide|(6, [24752, 39108, 82923, 193483, 241381, 264099])
abound|(10, [45285, 61716, 87663, 145715, 219752, 221687, 221831, 228412, 256076, 307754])
acquit|(2, [197926, 264050])
lack|(1, [119570])
flag|(1, [37998])
dimple|(1, [269243])
furnish|(15, [36550, 39151, 71878, 71957, 73515, 124778, 164769, 196669, 221966, 238084, 263461, 296728, 312310, 313502, 357109])
entreat|(6, [189316, 190414, 202326, 212315, 262307, 312114])
assume|(54, [9484, 14661, 20782, 28117, 28538, 32221, 32478, 32543, 32620, 37674, 40539, 56861, 57709, 57960, 58100, 70571, 96059, 96135, 110694, 114367, 119556, 120513, 126034, 130223, 134268, 143187, 143192, 144386, 149146, 152572, 161947, 162309, 163081, 166760, 170702, 180362, 193330, 211511, 244088, 258304, 282877, 283137, 300402, 319701, 332287, 336076, 344392, 345571, 345580, 348001, 348975, 349066, 352195, 356847])
extravagant|(1, [332175])
bringing|(3, [5739, 186093, 349914])
injure|(4, [202105, 236315, 297865, 343399])
scamp|(1, [336910])
aliquantulum|(2, [169880, 172806])
rarefy|(2, [9963, 12016])
occasion|(61, [2672, 7572, 8653, 12099, 12699, 15456, 23421, 27983, 40772, 41148, 50203, 71217, 72349, 75194, 76135, 77578, 82587, 88880, 93471, 99834, 100596, 105172, 115223, 136886, 136913, 140434, 140684, 144317, 145297, 147700, 150305, 162093, 181611, 182121, 185541, 193429, 193986, 195226, 196159, 197302, 199590, 203280, 204355, 205268, 216300, 216803, 227212, 237969, 239857, 243996, 262217, 264899, 265620, 276744, 281528, 282620, 306238, 327163, 329917, 342217, 352491])
mend|(3, [56242, 66654, 300396])
cling|(3, [17230, 134499, 142700])
dependence|(1, [345617])
concur|(2, [224730, 340939])
notice|(34, [13127, 15518, 24010, 29851, 35022, 56417, 62033, 70132, 87800, 108394, 118345, 122022, 129777, 140764, 162925, 166777, 179069, 180613, 188913, 200927, 211044, 230006, 230191, 233195, 239246, 243589, 245864, 247056, 260699, 286856, 295873, 305136, 334277, 337100])
congregate|(1, [156801])
frown|(3, [81096, 160764, 280569])
drip|(1, [81989])
transmute|(1, [324121])
eradicate|(1, [249997])
toss|(3, [189361, 199849, 304520])
twinkle|(3, [149272, 267771, 341156])
tail|(1, [340932])
tis|(1, [26585])
clean|(1, [42909])
erscheint|(1, [51492])
flirt|(1, [278253])
waver|(2, [192869, 201740])
fate|(1, [252040])
multiply|(7, [38027, 59828, 60662, 134188, 146086, 222156, 351060])
rightly|(1, [279614])
counting|(1, [32308])
misconceive|(3, [103039, 308428, 352275])
bedizzened|(1, [135927])
impart|(3, [96347, 107580, 251629])
minor|(1, [359585])
incarnate|(1, [107067])
individualize|(1, [107074])
overarch|(1, [239914])
worn|(1, [28762])
quarrel|(4, [197725, 282231, 338301, 340347])
round|(20, [55849, 67957, 80917, 92416, 119417, 132953, 133076, 134005, 157094, 201282, 216965, 223381, 232196, 236069, 239406, 242371, 274280, 323895, 340743, 346751])
model|(7, [175414, 194976, 199076, 241979, 333008, 334028, 345813])
examine|(65, [4826, 5633, 11515, 14763, 19199, 25489, 33744, 38481, 41138, 41296, 42073, 43278, 44037, 45126, 45559, 45644, 45881, 46797, 52770, 57462, 58450, 62328, 62860, 66317, 67202, 82609, 84091, 84388, 84507, 84592, 84737, 85377, 104135, 110128, 113349, 165914, 169162, 174211, 179792, 184533, 184782, 184852, 185921, 186241, 191435, 221065, 227843, 228074, 228140, 232506, 233650, 233748, 238793, 239264, 239756, 246508, 263379, 270903, 311722, 312281, 315773, 315838, 316591, 333168, 352279])
contribute|(5, [8841, 117098, 167179, 217401, 326819])
ami|(1, [264506])
burn|(33, [4419, 17582, 22242, 35670, 77420, 102824, 112722, 115475, 135308, 142440, 143422, 143639, 149074, 167092, 172702, 173993, 175226, 179851, 182341, 182801, 183449, 183481, 249749, 251996, 252310, 260709, 283274, 331289, 355356, 355453, 357871, 358687, 360833])
stoop|(10, [1291, 4277, 40634, 113873, 166168, 254213, 255722, 270348, 308341, 352250])
disentangle|(3, [37768, 48233, 52008])
ha|(1, [23540])
treat|(17, [2181, 63309, 93789, 151699, 161767, 178226, 190749, 196759, 209804, 218602, 232944, 286351, 290705, 302890, 309367, 316030, 343512])
exchange|(6, [139469, 181873, 261711, 267181, 279211, 290680])
dinner|(1, [278511])
garner|(1, [76899])
revolve|(12, [2383, 20690, 72684, 100532, 132016, 185518, 186335, 213002, 259591, 321612, 321833, 321961])
slender|(1, [213808])
quote|(20, [40543, 55692, 65555, 86769, 89411, 90468, 96418, 102888, 151684, 152030, 272789, 278521, 278537, 279898, 301452, 306453, 318634, 318728, 322988, 343499])
distinguished|(1, [42821])
intermingle|(9, [28160, 127737, 172454, 173046, 206858, 227374, 241135, 255909, 317571])
refer|(24, [32672, 34188, 68130, 70873, 77005, 89508, 102896, 104496, 144267, 246928, 266955, 273369, 274858, 297498, 300521, 309327, 309386, 319266, 321557, 324646, 351275, 353593, 354896, 354952])
scatter|(10, [8000, 66492, 117341, 124869, 173057, 207510, 216890, 220757, 267512, 269127])
desire|(27, [18757, 65928, 66817, 70457, 72835, 74763, 83529, 97299, 130372, 143592, 169489, 206122, 211263, 218275, 233782, 262688, 263366, 264849, 265465, 279209, 284041, 297513, 309499, 311766, 321187, 336339, 348057])
condense|(6, [7054, 7129, 9993, 14861, 17158, 109720])
indulge|(23, [39037, 51289, 65960, 112158, 121386, 125652, 129949, 130412, 147607, 164783, 167140, 171013, 179642, 182327, 209574, 210476, 210721, 213477, 238257, 299863, 325331, 327380, 341008])
thirst|(3, [140915, 208485, 236835])
ill.|(1, [185892])
supply|(19, [10869, 13713, 70110, 82654, 91428, 107811, 113653, 135303, 140879, 185804, 186975, 194422, 212951, 213117, 231390, 263268, 287613, 316371, 357994])
doom|(6, [80117, 91579, 98836, 212734, 303302, 317997])
avoirdupois|(1, [29214])
extremes|(2, [19058, 144039])
alone|(2, [172200, 274035])
bath|(11, [119017, 139928, 175029, 178985, 215191, 215894, 216591, 251304, 255725, 256213, 304572])
roll|(64, [1382, 80051, 82662, 110681, 111741, 119013, 123161, 123836, 135516, 143026, 153355, 154045, 170298, 173038, 176681, 183586, 193254, 195597, 195962, 197210, 199355, 203516, 204109, 210795, 214631, 215239, 216805, 220575, 226141, 244103, 253434, 253936, 261612, 266344, 268106, 268806, 270132, 271517, 271910, 280593, 288420, 291493, 298312, 305939, 306122, 306254, 313878, 340237, 346380, 346432, 347153, 347267, 347939, 348073, 348213, 349422, 349795, 350735, 350895, 350895, 351198, 356926, 358128, 361055])
disquiet|(1, [185509])
brush|(2, [40247, 318190])
commemorate|(1, [323046])
stigmatize|(1, [299954])
abhor|(1, [267388])
help|(49, [6539, 11567, 20242, 27267, 35608, 36659, 39449, 40198, 50090, 78479, 96927, 100487, 111600, 119930, 128322, 136217, 136222, 136416, 139750, 148540, 153212, 155912, 161095, 161784, 161903, 165683, 175756, 182251, 204426, 205539, 207541, 228003, 229481, 249677, 255183, 264370, 269936, 270969, 278784, 287393, 288047, 291691, 304040, 304065, 305860, 324099, 325360, 325935, 331013])
guide|(10, [33693, 60949, 70365, 95100, 186185, 208267, 278105, 291923, 310262, 349928])
fancying|(1, [18596])
thrust|(23, [30174, 41157, 43019, 44851, 47698, 47727, 47777, 79880, 83249, 128603, 128901, 139143, 167410, 168062, 168071, 184192, 192333, 216378, 241348, 289579, 310555, 312887, 348349])
allot|(2, [310623, 330178])
rectify|(1, [229374])
quiver|(14, [77599, 79148, 80982, 111737, 115416, 122357, 137218, 142132, 142162, 147035, 206713, 248523, 357629, 361127])
fro|(39, [8795, 11292, 25046, 61590, 61705, 63245, 66590, 78749, 80507, 96766, 100127, 110301, 115454, 120763, 120906, 122693, 123040, 124872, 125021, 125435, 125554, 126095, 135506, 169709, 173060, 182763, 185201, 188409, 201760, 205809, 207688, 207965, 220840, 248418, 269310, 285969, 348232, 351877, 357263])
depute|(3, [89709, 169414, 300242])
chill|(6, [5481, 121288, 130290, 142780, 168826, 251737])
fret|(4, [2081, 117323, 154774, 249240])
refolded|(1, [88700])
obviate|(2, [308675, 352574])
sens|(1, [315522])
interrupting|(1, [273771])
settle|(27, [24890, 53285, 61465, 82877, 118443, 126694, 129254, 135094, 143286, 173092, 174132, 195228, 195296, 203228, 222645, 229260, 244172, 252703, 265574, 279545, 281927, 283597, 284988, 291204, 313198, 315616, 325647])
pheugoen|(1, [302637])
rob|(4, [50014, 83215, 83469, 256159])
jerk|(5, [5580, 74821, 206111, 206262, 277592])
soothe|(4, [248029, 262264, 285634, 290301])
unbounded|(1, [260975])
sedate|(1, [125157])
breed|(3, [220110, 305769, 315055])
ascertain|(51, [6403, 11480, 13124, 13498, 14357, 18759, 19192, 32300, 39823, 48929, 53667, 62387, 62466, 62851, 63822, 64496, 65443, 69741, 76560, 77591, 96837, 98441, 103751, 103904, 106610, 108688, 139410, 139978, 147660, 161062, 164704, 184537, 186287, 186585, 188068, 192727, 208848, 220967, 222346, 228372, 229868, 234243, 242336, 245333, 254143, 294240, 322991, 328931, 329291, 353096, 360116])
overpowered|(1, [120852])
wrinkle|(1, [1049])
villain|(1, [303030])
near|(1, [217827])
stumble|(6, [2241, 27296, 28251, 139592, 268938, 304448])
badger|(1, [273141])
twirl|(4, [25042, 264303, 270212, 335851])
welter|(1, [135542])
ning|(1, [341164])
pierce|(5, [9745, 45860, 121888, 172662, 182781])
outbid|(1, [323348])
coquet|(2, [61383, 326050])
row|(1, [63240])
clinch|(1, [203390])
attack|(10, [187420, 197569, 199405, 200533, 225982, 235843, 249848, 294757, 313988, 332688])
ground|(1, [101837])
transmit|(2, [79448, 293551])
brandish|(2, [94398, 266340])
republish|(2, [145124, 333339])
bring|(228, [4112, 5089, 7186, 9168, 9201, 12630, 13160, 14505, 14565, 15109, 18768, 20166, 23705, 23717, 24191, 24402, 24437, 29903, 30853, 37776, 37810, 39006, 39949, 40415, 43551, 45750, 46108, 48894, 51797, 52989, 53114, 53915, 54220, 54723, 58165, 58910, 59073, 59154, 59284, 59349, 63587, 67165, 68030, 70459, 74631, 74731, 76418, 83113, 93983, 95402, 95523, 97741, 101608, 102189, 104518, 107477, 107567, 108278, 108724, 114038, 117481, 118243, 122053, 124424, 129450, 133563, 135289, 138953, 142195, 145865, 151750, 152401, 152485, 153763, 160024, 162111, 163415, 164360, 169482, 171486, 177850, 178022, 179300, 180295, 181091, 181802, 181929, 182020, 184060, 184949, 185174, 185635, 186053, 186147, 188296, 188618, 190444, 190874, 191523, 191577, 191670, 192565, 192643, 192734, 193831, 194281, 195280, 195557, 195971, 196263, 196383, 196414, 196582, 198550, 198783, 198908, 198934, 199620, 201081, 201463, 201700, 201918, 204652, 205967, 206145, 207648, 207791, 207922, 208396, 209141, 209167, 209522, 209914, 209950, 210143, 210276, 212399, 212768, 213238, 213406, 213600, 214061, 214222, 216235, 216809, 218690, 218891, 219025, 225239, 227581, 229012, 231010, 231195, 231313, 231425, 232295, 232353, 232624, 234896, 235435, 235747, 236251, 237006, 237828, 237943, 238780, 238889, 241470, 246000, 246123, 248762, 254824, 255866, 257494, 260116, 262276, 263909, 270353, 283471, 284783, 294565, 297776, 298447, 300592, 302240, 303154, 303438, 307370, 307439, 309585, 310739, 312964, 313555, 315362, 316434, 323720, 324861, 326146, 326726, 327610, 334153, 336660, 338235, 338366, 340873, 341018, 343565, 344254, 346128, 347822, 348401, 349576, 349827, 349858, 349971, 350194, 351154, 353132, 353730, 353757, 353796, 355295, 356636, 357416, 358417, 358953, 359120, 359480])
surrender|(3, [323043, 323064, 323104])
proclaim|(2, [36207, 269076])
-of|(1, [314200])
observing|(3, [39579, 112296, 142661])
omit|(5, [70423, 92322, 165236, 196666, 297284])
blind|(6, [36604, 99841, 136206, 208282, 217424, 319671])
think|(345, [787, 1902, 2168, 2882, 3355, 4251, 4543, 5041, 6540, 7542, 7655, 8282, 9041, 16237, 16500, 18069, 18127, 18583, 19026, 19284, 22916, 23382, 23597, 24373, 25072, 25455, 26238, 26369, 27268, 27694, 29411, 29597, 30211, 30332, 30806, 31708, 33689, 34294, 34852, 37580, 39814, 39834, 40352, 40417, 40622, 43843, 45132, 45924, 45975, 46296, 49752, 50317, 51314, 52798, 53627, 54986, 55064, 55078, 56777, 59765, 60895, 61394, 61473, 62213, 63418, 64239, 64262, 67059, 70530, 70912, 72223, 74953, 76617, 77044, 78497, 79038, 79353, 79602, 82715, 85104, 85115, 87646, 87975, 89301, 89992, 90106, 91472, 92321, 92425, 95832, 97667, 97804, 98240, 98511, 98797, 99450, 99634, 99743, 100165, 101465, 102720, 102867, 103258, 103409, 105575, 105707, 106138, 106214, 106962, 107629, 107774, 107854, 108726, 108966, 109144, 110496, 111003, 111008, 111601, 114788, 116060, 116552, 117204, 119523, 120561, 124486, 125303, 126957, 131193, 131292, 133951, 134105, 135175, 136062, 136077, 136185, 138716, 138725, 139475, 139561, 141456, 141739, 142137, 142234, 142518, 144102, 145218, 145820, 146736, 148066, 148109, 148492, 149059, 149440, 150018, 152712, 152796, 161785, 163324, 164743, 165358, 167899, 168313, 168360, 169052, 169202, 169208, 169800, 169805, 171767, 174353, 175365, 175834, 175912, 176006, 176110, 176332, 176363, 176973, 179940, 180529, 180756, 182422, 183223, 183549, 183945, 184445, 186344, 186744, 188548, 188785, 191208, 191252, 191538, 191570, 191751, 192140, 193213, 194206, 196196, 196477, 196617, 196828, 197787, 200649, 200843, 201228, 201240, 201590, 202934, 202966, 204276, 204366, 206529, 206584, 206735, 207027, 207108, 208138, 208614, 211442, 212304, 212410, 213093, 218776, 219350, 227591, 228004, 228205, 231567, 232811, 233473, 233853, 234745, 236350, 239784, 240559, 244048, 252483, 252537, 255747, 256336, 258105, 260646, 261509, 261666, 264958, 267525, 269782, 272966, 273813, 273956, 276178, 277609, 278785, 281634, 281806, 283450, 285063, 285569, 285738, 285897, 286508, 286844, 287394, 288062, 288227, 288473, 289103, 289827, 289835, 290463, 294098, 295902, 296496, 296521, 297290, 297651, 298223, 298262, 298733, 298737, 298740, 298746, 298754, 301253, 302855, 302972, 303020, 303267, 304010, 304300, 304318, 304325, 304327, 305649, 305751, 305920, 307302, 308196, 308490, 309032, 311159, 320007, 320245, 322175, 324345, 324360, 324824, 325097, 325115, 325378, 325651, 326179, 326212, 326348, 326499, 327095, 327350, 328055, 329751, 330018, 331819, 332173, 332315, 332546, 332569, 333005, 333200, 333261, 334490, 334495, 335085, 336144, 336209, 338314, 339916, 341944, 344502, 344555, 345453, 345461, 345502, 350847, 355008])
emerge|(9, [267, 16050, 147985, 239474, 241696, 242439, 301879, 303994, 328395])
distemper|(1, [327429])
zay|(2, [314623, 314650])
pitch|(5, [5762, 183584, 199357, 219066, 340047])
pencil|(1, [109272])
soldier|(1, [23274])
immortalize|(1, [332350])
embrace|(8, [56603, 70599, 106272, 124651, 125225, 224084, 263861, 282476])
suspect|(31, [4858, 49233, 53017, 65267, 71594, 83637, 88597, 102817, 103344, 103392, 104200, 109425, 130836, 144363, 144371, 161833, 165012, 168252, 169788, 176709, 179353, 199478, 201635, 256380, 256425, 256448, 258578, 307317, 312629, 321544, 330375])
erect|(13, [94221, 128748, 137433, 137581, 137790, 172820, 195145, 220582, 231825, 242888, 268275, 322964, 331359])
cotch|(2, [23515, 23574])
disagree|(1, [45017])
presume|(31, [22661, 22730, 31266, 54574, 59802, 63077, 80751, 83983, 84106, 84459, 84951, 86482, 92203, 103316, 110799, 139714, 151085, 161670, 166214, 178237, 257977, 265339, 286156, 289439, 289641, 290715, 295125, 321662, 322269, 333048, 342980])
wont|(3, [39524, 117620, 160679])
describe|(63, [26969, 27964, 28485, 39634, 41912, 41918, 45040, 48308, 60798, 66676, 68621, 72857, 81316, 94787, 96682, 98293, 100367, 100637, 100773, 110943, 111539, 111769, 115202, 121713, 121976, 130739, 138239, 148856, 152746, 155883, 156009, 156298, 157092, 157328, 157709, 157931, 158769, 162215, 162912, 163428, 165984, 169214, 185932, 203729, 218229, 220171, 223741, 229944, 255928, 256002, 256420, 257551, 263778, 269371, 277262, 280019, 280744, 281177, 304948, 317790, 324973, 345059, 345549])
sparkle|(5, [119368, 127708, 149275, 259134, 341159])
capsize|(4, [196739, 202940, 245454, 328129])
drop|(45, [2717, 5911, 9764, 10302, 11338, 17991, 26288, 26329, 27823, 30009, 31541, 33584, 34223, 74770, 76641, 97534, 116037, 122094, 126479, 126579, 135637, 136156, 142385, 153769, 159995, 172767, 187720, 188040, 199984, 207852, 228775, 260379, 266323, 270325, 277187, 277230, 304429, 306103, 308337, 312692, 316931, 317112, 317652, 329537, 334380])
encounter|(28, [5550, 8513, 78055, 87188, 93668, 97743, 117094, 126912, 139366, 139550, 179026, 184509, 193648, 194893, 201868, 218847, 223467, 223839, 223923, 254506, 256238, 257197, 266838, 266974, 271975, 283171, 347294, 355112])
sneer|(2, [293470, 310563])
droop|(2, [219869, 327908])
apprise|(1, [235769])
exclude|(4, [57042, 139107, 170189, 237211])
pay|(62, [2938, 3024, 4153, 22063, 33712, 42257, 48954, 49722, 77523, 79888, 80245, 84913, 85258, 88198, 92583, 127031, 135381, 145301, 181539, 187199, 190730, 194635, 195470, 223104, 230261, 232787, 242048, 266635, 271225, 273587, 273730, 274541, 278214, 278998, 281011, 286139, 293174, 293208, 293449, 293539, 294245, 294880, 295181, 295206, 299910, 300854, 311123, 311917, 311992, 312224, 312340, 312382, 312407, 312673, 312752, 312881, 312908, 313386, 313427, 325236, 339099, 340720])
distressing|(1, [303951])
cry|(27, [24604, 25573, 26022, 26130, 26204, 26309, 26446, 78585, 82319, 148376, 148643, 168441, 182769, 200948, 234558, 253110, 261404, 263159, 264751, 279144, 288017, 288856, 289152, 311456, 311713, 314948, 319518])
suppose|(191, [1394, 4053, 5391, 5928, 6789, 6899, 7020, 12012, 13430, 13990, 15266, 16569, 16672, 17029, 17077, 21432, 22208, 24319, 26611, 28965, 29510, 30063, 31079, 31963, 34504, 35043, 38096, 38751, 39614, 44933, 45080, 46253, 46943, 47622, 47758, 48848, 49126, 49561, 49592, 51356, 51957, 52698, 53600, 54610, 54847, 54960, 56653, 57553, 57599, 57620, 57717, 57753, 57795, 57801, 57813, 58879, 59644, 59744, 59863, 60402, 61747, 63163, 64065, 64284, 64779, 65021, 65145, 65210, 67066, 67285, 67475, 67874, 69415, 69463, 69565, 70101, 70699, 72923, 76033, 76715, 80204, 83526, 84784, 85203, 86957, 95155, 99586, 100522, 101035, 101993, 104129, 104645, 104878, 106764, 119793, 125860, 126675, 132030, 137292, 138995, 139751, 140558, 141006, 144359, 144446, 145728, 150057, 151570, 151695, 152470, 154061, 161879, 165523, 166855, 171026, 176033, 177806, 179058, 179235, 179784, 180054, 180207, 181785, 182143, 184792, 187760, 188355, 188976, 191603, 197126, 200038, 206911, 207119, 215143, 215506, 219441, 222605, 223232, 229051, 229595, 238938, 241568, 244502, 244835, 254276, 257283, 257995, 259714, 266137, 266264, 266888, 266953, 268228, 270712, 272877, 274205, 281663, 283348, 284417, 287902, 290641, 292403, 293675, 295922, 301622, 301658, 313764, 318521, 318566, 318997, 321594, 321953, 324044, 330315, 332620, 339178, 341982, 343362, 343508, 344340, 348338, 348685, 348752, 349415, 349967, 350668, 351418, 352382, 352473, 352898, 355990])
mold|(1, [18927])
slay|(1, [36512])
crave|(3, [130074, 130071, 141670])
distress|(7, [5814, 8765, 42106, 187070, 244387, 250065, 332872])
glancing|(2, [135503, 315617])
jade|(1, [273857])
disburse|(5, [295228, 295596, 295841, 296271, 296675])
interupted|(1, [289748])
widen|(3, [122843, 243604, 322335])
sculpture|(2, [249343, 275342])
expend|(1, [294890])
alarummed|(1, [121634])
hear|(172, [12711, 22381, 23139, 25913, 26217, 26220, 26343, 26539, 31431, 31618, 33677, 36046, 36201, 36554, 37010, 40183, 41813, 44372, 44710, 44774, 44896, 48639, 49375, 49432, 49446, 51158, 51843, 53646, 55086, 55131, 56487, 67688, 68896, 68924, 75253, 77751, 81954, 82720, 88793, 89040, 90087, 90883, 95848, 96531, 96721, 97189, 99019, 120537, 121923, 122394, 122399, 122404, 122420, 122451, 122461, 122545, 123964, 124128, 125317, 128499, 134271, 136161, 136992, 137579, 137633, 137894, 145469, 145482, 159245, 165827, 165960, 167809, 167812, 167823, 168346, 168466, 168495, 168746, 169069, 169147, 169381, 169667, 169778, 169785, 172881, 174988, 177527, 181645, 186784, 187801, 188101, 188175, 188583, 189273, 189478, 189705, 191467, 193318, 193426, 193854, 193990, 195622, 195890, 196324, 197225, 200551, 200756, 200770, 204489, 209220, 211150, 211234, 216100, 224857, 233951, 234991, 235822, 240900, 246078, 250135, 250142, 250849, 253141, 254417, 256328, 263629, 263633, 266243, 272506, 283623, 283967, 285047, 285612, 286048, 286171, 286607, 289012, 290027, 290049, 290062, 290259, 291041, 291229, 291283, 296883, 299350, 299601, 306425, 310846, 312776, 314294, 316944, 318980, 323693, 326357, 327288, 327450, 329708, 334503, 334593, 335738, 335786, 335956, 336163, 336527, 338035, 340784, 340807, 347924, 349571, 358538, 358691])
labor|(8, [105027, 120567, 150879, 240313, 292528, 299176, 340551, 342792])
leap|(28, [22404, 28135, 30771, 37349, 37362, 70181, 98631, 101685, 122295, 142710, 169088, 191518, 207322, 217793, 227644, 239935, 248568, 265712, 268576, 271663, 284824, 288728, 289182, 291188, 291201, 291449, 295015, 331212])
dimmer|(1, [173546])
recoil|(4, [127937, 146346, 227870, 284484])
lick|(3, [183076, 184702, 267822])
assort|(2, [28947, 38502])
wherein|(2, [16691, 134085])
vie|(1, [164798])
consummate|(5, [54626, 57575, 113047, 298940, 313835])
plume|(1, [119308])
warp|(1, [225292])
light|(17, [4260, 39354, 46110, 81248, 82545, 98963, 98985, 123274, 124780, 135328, 158360, 180963, 193061, 193176, 263526, 316096, 352883])
passing|(4, [46231, 103940, 159358, 239025])
intense|(1, [135022])
conclude|(52, [17545, 26073, 27205, 29325, 34847, 51714, 53205, 70482, 74393, 88397, 91497, 110651, 110885, 121643, 131331, 156027, 184597, 184764, 185301, 187860, 188588, 192256, 192445, 204292, 204443, 208301, 209981, 215591, 223577, 227541, 229506, 230268, 230861, 234847, 248696, 249895, 259972, 261956, 266357, 266803, 286064, 295125, 295303, 296912, 297229, 308191, 313583, 314354, 316028, 329512, 333392, 351052])
noon|(1, [276447])
marvel|(2, [138415, 251396])
rustle|(2, [120769, 123543])
et|(1, [308970])
depopulate|(3, [89672, 124352, 268195])
emanate|(3, [124884, 268682, 296041])
scoundrel|(3, [27615, 272337, 312390])
redden|(1, [126129])
perverse|(1, [21617])
deform|(4, [133063, 189925, 322599, 356094])
justify|(1, [35538])
respond|(3, [253916, 276195, 357544])
clear|(13, [15989, 25381, 26821, 26940, 91645, 220405, 221941, 232633, 245432, 284913, 306350, 320567, 337008])
reflection|(1, [152459])
name|(19, [3225, 52132, 95835, 97152, 114374, 175659, 221927, 225471, 233636, 243360, 248806, 254489, 264497, 279608, 292630, 293131, 296008, 301297, 310849])
hoist|(4, [30409, 176250, 227748, 245654])
exercise|(11, [19304, 92069, 94235, 105396, 116590, 138950, 171189, 282141, 307006, 331860, 354934])
prescribe|(2, [24663, 58088])
pour|(23, [31732, 36177, 118651, 132228, 132417, 135487, 137338, 175319, 201036, 207330, 215564, 216173, 241715, 248173, 250368, 253455, 261863, 270495, 270982, 271738, 315263, 316057, 323838])
double|(8, [32506, 32529, 52801, 56193, 65404, 85069, 165397, 273841])
hate|(2, [162114, 337509])
dispense|(3, [73438, 286409, 287154])
concave|(1, [76040])
hop|(7, [30294, 101555, 143590, 191183, 202677, 208640, 217473])
articulate|(2, [206834, 234886])
hazard|(3, [53327, 110346, 328482])
snore|(3, [90712, 188696, 188882])
free|(7, [57051, 142019, 191716, 192996, 204930, 204963, 234021])
sup|(2, [214338, 323327])
maltreat|(3, [55678, 112550, 112559])
spank|(1, [98096])
paddle|(2, [231218, 242002])
denote|(1, [35830])
oil|(1, [72591])
state|(26, [6599, 16602, 19676, 42688, 43331, 44118, 44284, 45117, 45708, 50145, 55345, 56682, 57883, 64535, 111013, 119967, 185723, 195742, 204007, 208224, 223920, 232531, 345262, 348207, 351979, 352005])
madden|(2, [126402, 268565])
honor|(1, [283905])
behind|(2, [227716, 233516])
fifty|(6, [3484, 29212, 156128, 293289, 302849, 311674])
sterner|(1, [25333])
