twenty-eighth|(1, [224491])
gauntlet|(1, [97772])
seventy-second|(1, [223933])
successor|(1, [249032])
selection|(2, [151992, 343809])
investment|(2, [149881, 341803])
ancient|(3, [112371, 318821, 320882])
diagnosis|(3, [109442, 118468, 146441])
companion|(49, [9790, 28060, 44166, 50183, 50189, 64121, 78455, 78577, 95314, 117495, 118288, 122019, 166933, 176320, 177340, 179147, 180068, 181255, 183315, 187948, 191679, 194419, 196103, 196691, 216287, 233995, 234520, 234568, 240387, 241007, 241360, 257505, 258783, 259695, 261457, 266262, 267215, 267545, 267720, 268820, 271057, 271291, 271817, 285078, 285415, 291588, 328398, 334472, 351340])
cruel|(3, [35035, 113163, 305667])
dexterity|(4, [94167, 166796, 290394, 302038])
bond|(1, [273462])
landscape|(11, [115969, 131670, 151062, 151147, 151343, 151542, 152516, 342956, 343071, 343270, 344342])
deed|(18, [26400, 45527, 48158, 49242, 67590, 69157, 69501, 112794, 113164, 113970, 115305, 126756, 130637, 169119, 169852, 172675, 271248, 309942])
inaccessibility|(1, [201565])
spade|(3, [26968, 28180, 172984])
honor|(32, [3390, 17963, 23693, 24876, 34914, 38516, 38518, 49912, 50039, 53173, 83117, 83142, 83755, 102047, 127244, 166112, 166869, 259841, 273423, 279016, 280233, 287830, 288924, 290013, 292126, 307755, 308062, 309403, 317724, 333786, 336154, 338755])
phosphorescence|(1, [75347])
ocean|(39, [4735, 5708, 5783, 9466, 11269, 13386, 13778, 16119, 71809, 75987, 77747, 78212, 78379, 80618, 81014, 90864, 92393, 95512, 95677, 95947, 99103, 99519, 99806, 101119, 101774, 132133, 148176, 173203, 179343, 179452, 182362, 207360, 220822, 225413, 244150, 244257, 247235, 316051, 318449])
concussion|(6, [4484, 203276, 233831, 234850, 235060, 237637])
qu|(2, [76833, 282019])
hazard|(2, [191289, 240006])
carpenter|(2, [327765, 350103])
forty-four|(1, [224236])
enduring|(2, [258172, 356371])
exultation|(2, [166521, 355963])
aper|(1, [298101])
pan|(5, [31750, 31760, 31767, 31801, 228377])
sail|(46, [24167, 78770, 177424, 177998, 181692, 190547, 190679, 190935, 194967, 195540, 196135, 196436, 196609, 196730, 197314, 197421, 197976, 197996, 198573, 198628, 198775, 198835, 198887, 198920, 199071, 199104, 199166, 199171, 210622, 217750, 221246, 222260, 223022, 223067, 225057, 225075, 242942, 243030, 243606, 245608, 245655, 268092, 272036, 325196, 325474, 327666])
sentiment|(49, [56130, 80356, 108233, 115939, 120856, 129026, 129303, 129759, 130846, 130874, 131596, 150409, 150417, 150714, 150911, 152398, 152559, 153180, 153189, 162205, 164969, 166947, 247177, 247193, 247344, 256580, 257035, 257336, 263790, 276273, 300584, 308188, 342265, 342267, 342344, 342596, 342600, 342622, 343133, 344247, 344380, 356271, 356281, 356863, 357798, 357803, 357962, 357992, 359675])
multicolor|(2, [150819, 342733])
wizard|(2, [144184, 153692])
intriguant|(1, [87354])
excellent|(1, [182106])
instanter|(1, [312753])
chalky|(1, [199575])
hypochondriac|(3, [118877, 119947, 121397])
poll|(2, [280546, 280599])
accurate|(2, [13487, 71966])
abhor|(1, [252979])
commencement|(12, [18613, 32702, 57055, 63767, 136485, 202298, 210216, 243462, 249835, 280685, 303464, 351503])
idea|(197, [4647, 9299, 12784, 15079, 15584, 16226, 20200, 22253, 22274, 22563, 23417, 29662, 31222, 34014, 34754, 39669, 44878, 46088, 47270, 47465, 47605, 48000, 48175, 48376, 54383, 55695, 57038, 57383, 57433, 57448, 57899, 61571, 62137, 65270, 65614, 69189, 69313, 70081, 70877, 72250, 72359, 75592, 77725, 80623, 81726, 82809, 86741, 88534, 89659, 89660, 94828, 95353, 97022, 99659, 99828, 102166, 104209, 105733, 106129, 106219, 106366, 106583, 106749, 107543, 108117, 111026, 116183, 117703, 118699, 118850, 118967, 119554, 122136, 126708, 129071, 129671, 130302, 130702, 130796, 131500, 132800, 137869, 138585, 139106, 140618, 141237, 141998, 142413, 143357, 146979, 148195, 150528, 151383, 151449, 151965, 152364, 152535, 152834, 153358, 153653, 156817, 165541, 167003, 167854, 168341, 170782, 170930, 176113, 181848, 182454, 184842, 185587, 188252, 190653, 191258, 192211, 193107, 194921, 196186, 197392, 199371, 204591, 209625, 209826, 211227, 211733, 213017, 224009, 229087, 231090, 233919, 240745, 245043, 248005, 251648, 254381, 255327, 258093, 262210, 265249, 274412, 274789, 276774, 281543, 283766, 284096, 287045, 287699, 288511, 291940, 293364, 294618, 297482, 302492, 307211, 307934, 309929, 310205, 317133, 317901, 319427, 321066, 321650, 321883, 321889, 321914, 324916, 329614, 330925, 330932, 332086, 337348, 339932, 341359, 342391, 342401, 342615, 343312, 343782, 344222, 344357, 347239, 347783, 348564, 351494, 351604, 351704, 352357, 354284, 355769, 357289, 357680, 357825, 357939, 358180, 359038, 360139])
inmost|(5, [21545, 100387, 127741, 143389, 174215])
intermingling|(1, [154956])
il|(8, [89342, 115837, 272782, 323763, 324170, 324224, 324470, 324479])
crxw|(1, [281363])
siege|(2, [272732, 316442])
baptiste|(1, [323415])
unt|(1, [92153])
sandy|(1, [228734])
gold-seeker|(1, [27490])
a-piece|(1, [340912])
scarf|(7, [56039, 56414, 56507, 65078, 66490, 66573, 66626])
eternity|(1, [173152])
smell|(5, [139937, 148976, 207374, 302563, 356855])
fy|(1, [93457])
mechanism|(20, [38359, 144164, 344953, 345677, 346055, 346672, 347787, 348061, 348272, 348896, 350000, 350014, 350022, 350096, 350853, 350972, 351083, 351112, 351499, 351606])
self-murder|(2, [57061, 329646])
bloodthirsty|(1, [189786])
hint|(10, [22660, 33468, 102238, 102903, 200666, 227584, 252687, 302775, 309806, 333244])
barge|(2, [63529, 63553])
bowstringing|(1, [90217])
retiring|(1, [153199])
exigency|(3, [180372, 281175, 281208])
mutineer|(1, [201937])
transport|(3, [259464, 260839, 263148])
prevalent|(1, [146887])
me-e-e|(1, [266476])
inutility|(1, [72201])
flaming|(2, [75580, 282974])
seventy-nine|(1, [360053])
canoe-load|(1, [231448])
nebula|(1, [40486])
resource|(8, [5881, 17194, 90224, 199147, 216328, 240022, 262404, 336341])
steel|(16, [20246, 72548, 72656, 74811, 76077, 92890, 141266, 141490, 141536, 141907, 142197, 142296, 255622, 295505, 305126, 347036])
cushion|(5, [346320, 346914, 347397, 347906, 348039])
flitting|(2, [244238, 358244])
identity|(25, [54957, 56570, 57224, 59981, 60604, 60804, 61223, 61463, 62370, 89291, 117486, 161970, 164658, 166802, 167706, 170583, 171543, 252473, 252544, 252550, 253523, 266767, 266893, 306356, 323740])
arrangement|(27, [28938, 32868, 32969, 33015, 38633, 55883, 66474, 66510, 66536, 88637, 116147, 119631, 119665, 151013, 151298, 151500, 157878, 212118, 227785, 238019, 254532, 265093, 333311, 342914, 343223, 352970, 353524])
affaire|(1, [41310])
formality|(2, [54203, 261367])
turmoil|(1, [356689])
wrath|(13, [2177, 50932, 67811, 91880, 114661, 122753, 167281, 261228, 261748, 292724, 293303, 316401, 335198])
disgust|(12, [5844, 113945, 123498, 125436, 125853, 142765, 161307, 277655, 314027, 323453, 326406, 340812])
paler|(1, [177362])
pocket-compass|(1, [34065])
sobbing|(3, [115656, 327309, 327337])
confinement|(6, [193221, 193703, 193790, 194163, 285645, 289927])
escondida|(2, [302190, 305876])
di|(2, [134168, 136947])
apprehensive|(1, [42746])
thou|(17, [37374, 133468, 147248, 147304, 159907, 167740, 167774, 252977, 252983, 253114, 329094, 329096, 329112, 329114, 329127, 333025, 333043])
eye|(119, [395, 2651, 13640, 14446, 17253, 21265, 23317, 26545, 26556, 26599, 26618, 26629, 26649, 26681, 26687, 27646, 27655, 27817, 27833, 27839, 27854, 33259, 33515, 34206, 34229, 34541, 43765, 57001, 65965, 80419, 82250, 83290, 95435, 95556, 96183, 102548, 102708, 109903, 109992, 112806, 114986, 115785, 116995, 117300, 117518, 117649, 120528, 122116, 122990, 123473, 125272, 134181, 134827, 135399, 136772, 136912, 149135, 151041, 151897, 151923, 153739, 153916, 153997, 154665, 154959, 155629, 156332, 158790, 158991, 159183, 167903, 167911, 167919, 167962, 168171, 168180, 168802, 169193, 169285, 170273, 172206, 182729, 199609, 200196, 200785, 204585, 223346, 226864, 229208, 229528, 250614, 253325, 274425, 284519, 291867, 296993, 301730, 303505, 305962, 306025, 306108, 313060, 316504, 316594, 321494, 323748, 324905, 329890, 330638, 331471, 336893, 336903, 342934, 343713, 343739, 346734, 349506, 351047, 356963])
pleasurable|(1, [130902])
vagueness|(1, [343841])
bottle|(25, [74775, 79473, 127582, 127847, 130232, 159689, 187513, 187774, 188209, 193009, 193432, 193851, 208863, 208928, 210065, 213456, 214236, 220974, 288202, 291306, 317107, 317222, 323226, 330035, 339650])
sincerity|(3, [117435, 190828, 307505])
extract|(1, [66094])
body|(228, [948, 4473, 5103, 5179, 5218, 6352, 7602, 7678, 7775, 10691, 10722, 16132, 17889, 31256, 41133, 41242, 42495, 42939, 43149, 43224, 44087, 44428, 45699, 47779, 47915, 47939, 50946, 50971, 51382, 53034, 53787, 53917, 54558, 54621, 54637, 54663, 54779, 54812, 54853, 54875, 54938, 55080, 55137, 55575, 55859, 55887, 56634, 57059, 57145, 57158, 57570, 57586, 57678, 57764, 57780, 57818, 58107, 58390, 58455, 58485, 58679, 58810, 58841, 59041, 59156, 59374, 59456, 59523, 59542, 59602, 59621, 59682, 59730, 59869, 59901, 59917, 60018, 60416, 60535, 61337, 62387, 67983, 69094, 70071, 74213, 79868, 80306, 87725, 90966, 91057, 91169, 91221, 91569, 94348, 95163, 95243, 101313, 107116, 107226, 107310, 107323, 107344, 107353, 107547, 107579, 107684, 107731, 112680, 113770, 114755, 115014, 120130, 122127, 124293, 140853, 142370, 142850, 143707, 144416, 145693, 147888, 154824, 156639, 160632, 169225, 170441, 172830, 172931, 177336, 178049, 178123, 182982, 183057, 183959, 184869, 184918, 187469, 187573, 189373, 191997, 195737, 199617, 199677, 199986, 200062, 201248, 203925, 204688, 205301, 205913, 207827, 207943, 208129, 209717, 212878, 213213, 216017, 216941, 219789, 219882, 223332, 223747, 224680, 226006, 227092, 227475, 229973, 230021, 232083, 233622, 234577, 237809, 237909, 242193, 242702, 243741, 244858, 250600, 250764, 250871, 251106, 251354, 256895, 270197, 276475, 277008, 277674, 281749, 283030, 284405, 286400, 286413, 289230, 291258, 292036, 300576, 303533, 304769, 306251, 306351, 314474, 319784, 328440, 328441, 328798, 330488, 331286, 331669, 331824, 337351, 339781, 346543, 348376, 348403, 348881, 349435, 349542, 349578, 349626, 349689, 349849, 351989, 352040, 353735, 353741, 357966, 358199, 358207])
flock|(3, [93405, 93443, 157474])
echec|(2, [347957, 349995])
thirst|(24, [65768, 140323, 140914, 152677, 183456, 184491, 184827, 186992, 188276, 191223, 205564, 212835, 213546, 215183, 215312, 215855, 215886, 216446, 216582, 217624, 217707, 249076, 299275, 354101])
fiction|(10, [18695, 19415, 71278, 89363, 103484, 139008, 143846, 144687, 258064, 301035])
mantelet|(2, [299439, 303781])
cabbage|(5, [219519, 275278, 275370, 275376, 275548])
watch-house|(1, [298337])
boundary|(4, [19201, 123078, 157584, 322317])
romance|(5, [39633, 61054, 159143, 159224, 263832])
rum|(5, [65990, 189651, 196524, 201044, 316014])
grocery|(2, [338050, 338050])
masquerade|(3, [124570, 125872, 167131])
barrel|(10, [72727, 79559, 100187, 101350, 101659, 185268, 185344, 185638, 241290, 314338])
understood|(2, [129113, 272966])
intelligent|(2, [252499, 313415])
breathless|(5, [171861, 329444, 329434, 355560, 356747])
translator|(2, [103020, 103050])
fascination|(2, [282945, 289811])
taste|(21, [124406, 125359, 127107, 153095, 155718, 219531, 231520, 248915, 259190, 263464, 263546, 285516, 285591, 286884, 287270, 308199, 325389, 356140, 356164, 356195, 356852])
gose|(1, [23282])
close-fitting|(1, [259103])
lounging|(1, [88126])
stiffness|(1, [334219])
deducing|(1, [129341])
earth|(154, [866, 1165, 4338, 5989, 6013, 6065, 6130, 6286, 6362, 6456, 7106, 7216, 7528, 8050, 8134, 9240, 9318, 9432, 9547, 11219, 12071, 12221, 12258, 13375, 13542, 13733, 13915, 14133, 14406, 14482, 14647, 14827, 15014, 15071, 15125, 15161, 15304, 15480, 15681, 15807, 15925, 16546, 17067, 17331, 17467, 17715, 17821, 17940, 18750, 19068, 19348, 19442, 20357, 20511, 20573, 20643, 20676, 20797, 20917, 21105, 21216, 28276, 31649, 56066, 65105, 66610, 71806, 73562, 73722, 73858, 74413, 76655, 76821, 81040, 92622, 105406, 111054, 118299, 118981, 124109, 128071, 131622, 137170, 145293, 146220, 148571, 149636, 150546, 150817, 150866, 150914, 151035, 151395, 151503, 151586, 153715, 161709, 166631, 167821, 169890, 171643, 182861, 220558, 220596, 229743, 229831, 233901, 234010, 234191, 234293, 234551, 234925, 235142, 235206, 235209, 246851, 249833, 252876, 252931, 253105, 253214, 253639, 253900, 253992, 261416, 274139, 274151, 278811, 297958, 299094, 321340, 321427, 329437, 337507, 341546, 342418, 342728, 342779, 342810, 343490, 354181, 354342, 354476, 354502, 354956, 356899, 357754, 358236, 358289, 358900, 359128, 359477, 360513, 360625])
fact|(190, [5439, 5486, 6557, 15771, 17542, 18653, 19272, 20303, 20980, 25842, 29444, 29572, 29684, 31283, 31461, 32056, 34010, 34367, 34378, 38808, 39922, 39999, 40675, 43014, 43641, 44532, 46372, 46840, 47585, 55579, 55884, 59556, 61133, 61168, 62794, 62824, 63813, 64109, 64505, 64898, 65438, 65643, 67096, 67433, 68034, 68207, 69151, 70944, 71715, 71767, 72196, 75894, 81104, 82688, 82741, 83128, 84055, 84698, 85049, 87459, 88029, 92311, 93773, 93973, 96886, 96963, 97459, 100903, 100906, 101267, 102724, 103105, 104298, 113328, 113561, 113720, 116494, 125444, 129486, 129548, 139439, 140433, 140534, 143938, 144899, 146109, 147616, 150271, 150940, 152807, 155202, 157858, 161456, 161460, 161609, 162634, 162917, 164958, 166298, 169962, 185897, 193471, 197797, 198441, 199212, 203374, 208159, 217275, 229138, 240644, 242333, 242588, 242813, 246229, 247049, 254874, 255215, 258561, 259528, 260444, 266503, 267195, 272088, 273284, 273439, 274096, 276979, 279431, 281148, 281201, 281703, 285203, 285707, 286267, 286283, 288791, 290147, 290526, 290971, 291271, 291582, 291896, 292871, 295155, 296691, 297324, 298729, 299366, 301005, 301637, 301841, 304121, 309717, 309939, 310075, 312825, 313076, 313754, 314348, 316813, 320464, 320832, 321696, 321920, 322635, 322927, 324852, 325958, 326326, 326855, 328261, 329520, 331626, 331848, 332769, 339037, 340316, 342833, 346824, 350223, 350472, 351371, 352021, 353429, 353589, 354375, 354518, 355599, 358783, 359190])
thieving|(1, [220697])
half-sentiment|(3, [105212, 105216, 113603])
president|(8, [269168, 269459, 269874, 270393, 270526, 270641, 270991, 271364])
plastering|(1, [113312])
musket|(8, [88890, 200417, 202214, 206801, 238785, 240445, 241286, 242138])
fox-hunter|(2, [149627, 341573])
morir|(1, [302202])
perpetrator|(3, [44603, 47635, 50062])
mutton|(5, [181386, 182090, 182297, 183528, 185841])
afternoon|(26, [24201, 43929, 53128, 53587, 56350, 64148, 65339, 89632, 97972, 111406, 160614, 164730, 171726, 197699, 203187, 215171, 225392, 272074, 273594, 296523, 303164, 303208, 306207, 311132, 313831, 327721])
halt|(1, [311431])
context|(2, [31267, 102637])
origin|(23, [239, 6912, 7658, 37104, 49559, 70593, 79310, 106116, 118264, 121275, 135449, 140390, 143090, 169985, 207666, 249898, 274684, 274694, 282064, 310698, 333347, 355993, 356685])
structure|(12, [79589, 115037, 124393, 133805, 141307, 157988, 158592, 161146, 163554, 229970, 242680, 345380])
scrap|(7, [22331, 29471, 29483, 30056, 30417, 104277, 302094])
morale|(1, [118247])
redness|(1, [124268])
characterization|(1, [269479])
coasting|(1, [195374])
uniformity|(6, [142571, 153689, 153959, 154527, 155702, 220126])
writhe|(1, [125551])
catapult|(1, [37356])
talent|(4, [37778, 131460, 306795, 308023])
basin|(5, [9027, 12742, 153776, 153873, 219674])
whirlpool|(8, [77742, 80961, 96297, 97103, 99281, 101386, 101699, 271793])
brand|(1, [172089])
fort|(3, [22081, 30169, 76457])
stony|(1, [144427])
amity|(1, [159009])
inspector|(1, [323640])
entertainment|(4, [81734, 287382, 289605, 310641])
clothing|(2, [200093, 214308])
junto|(1, [148731])
wadding|(1, [84285])
subject|(73, [1578, 6543, 7082, 15001, 18559, 19319, 19509, 21094, 22707, 33419, 33578, 39862, 40226, 40436, 44218, 51784, 52206, 53047, 53260, 57271, 59234, 60036, 61497, 62323, 72071, 97204, 101224, 102022, 108592, 108712, 108828, 109005, 109526, 111277, 135298, 140189, 145634, 145767, 151378, 159822, 162755, 164050, 164746, 165103, 177733, 179713, 188707, 191255, 197521, 211381, 233481, 248223, 258339, 261385, 261395, 273329, 285285, 294495, 295942, 300045, 301131, 303736, 304158, 304938, 305219, 308838, 330315, 334659, 340644, 346135, 349240, 354543, 358847])
surge|(4, [95647, 99503, 99923, 178819])
purged|(1, [356549])
platter|(2, [142039, 142562])
vowel|(2, [280127, 280323])
vacant|(1, [44764])
oratory|(1, [288715])
tract|(3, [25192, 115882, 224687])
gasping|(1, [8750])
lustre|(21, [6968, 22253, 24245, 43748, 43751, 78101, 98962, 116203, 117646, 118730, 125297, 140387, 143248, 155972, 247868, 250311, 252636, 253625, 254354, 359656, 360845])
ebony|(19, [78322, 92683, 100324, 100714, 125018, 125482, 125638, 126535, 126604, 133311, 173779, 249346, 249442, 250108, 250805, 251418, 360852, 361032, 361275])
pxh|(2, [281404, 281406])
apathy|(7, [55179, 55273, 61425, 80857, 118444, 244051, 307824])
swung|(3, [47012, 125018, 271849])
hardihood|(1, [7809])
pendulum|(9, [125017, 141015, 141211, 141618, 141791, 142069, 142335, 142718, 142856])
candelabra|(2, [249311, 287305])
serai|(1, [324307])
straitjacket|(1, [290431])
concern|(3, [64576, 237972, 257152])
veller|(1, [315234])
dug|(1, [229740])
hadst|(1, [37373])
depart|(1, [310957])
*12|(3, [56115, 71441, 93171])
deficient|(6, [218303, 258509, 264364, 281226, 330192, 330331])
fund|(1, [38539])
deposit|(7, [31690, 34301, 73817, 84328, 120230, 190965, 313471])
dogma|(4, [87684, 106445, 149364, 341277])
approbation|(2, [296029, 296447])
net-work|(9, [3121, 10069, 10108, 10116, 10116, 10137, 10290, 10451, 17236])
colloquy|(1, [104988])
soirée|(1, [335566])
inference|(8, [38443, 45294, 67257, 68340, 351087, 351569, 351821, 352933])
floe|(5, [224926, 225273, 225652, 225884, 225943])
pxxr|(1, [281464])
re-application|(1, [30964])
forgetfulness|(2, [138781, 218710])
recommendation|(2, [312482, 326027])
fault|(14, [9281, 43307, 44461, 46317, 49247, 82776, 177678, 247605, 247632, 274762, 294804, 333971, 348810, 358912])
quaintness|(1, [247336])
religio|(1, [86887])
deity|(4, [35797, 36345, 123438, 135004])
perigee|(2, [6095, 15097])
drowsy|(1, [140350])
argument|(19, [55989, 57470, 57849, 58360, 58375, 58427, 59598, 60116, 60200, 60204, 71274, 87698, 131925, 211215, 211434, 262938, 286231, 350706, 352801])
safe|(1, [41043])
tenuity|(5, [117589, 329964, 358980, 359855, 360195])
realm|(5, [119342, 123075, 146341, 148666, 319335])
divine|(8, [107071, 174090, 174901, 175348, 258932, 278091, 292176, 335194])
monarchy|(1, [35177])
pudding-stone|(1, [278938])
prevarication|(1, [27640])
poignant|(1, [307471])
madness|(19, [4776, 5511, 27863, 76924, 110938, 120596, 126904, 138656, 149437, 168869, 173095, 176733, 196406, 210779, 248936, 251849, 261772, 303890, 360902])
appeared|(1, [189293])
blew|(1, [225000])
prefect|(2, [35189, 89217])
oar|(5, [133045, 133709, 134855, 190549, 227355])
excellency|(2, [1290, 179635])
outlet|(3, [118983, 154637, 239803])
uncompromising|(1, [260964])
beaucoup|(1, [324068])
pattern|(2, [249282, 275251])
venir|(1, [302196])
grey|(1, [159259])
overturning|(1, [217255])
corvette|(2, [222339, 222380])
assumption|(3, [57545, 57680, 57955])
illustration|(1, [47576])
commander|(3, [222307, 222553, 226794])
magnifico|(1, [76002])
rough|(1, [206905])
scaffold|(1, [331358])
contour|(11, [60466, 162665, 163885, 171888, 246510, 246723, 253553, 260090, 266522, 283147, 307130])
inflammatory|(1, [1032])
plazer|(1, [302200])
superhuman|(4, [37576, 48086, 291183, 294608])
tripod|(1, [124913])
towering|(1, [223573])
-this|(1, [169798])
headboard|(1, [50573])
dawn|(15, [28865, 39339, 70357, 100938, 119418, 148005, 164258, 164393, 166495, 192028, 216123, 251445, 264797, 265413, 327435])
miniature|(4, [257379, 263313, 264995, 265912])
rigidity|(4, [108408, 122333, 144428, 251368])
rubber|(3, [313797, 318396, 318398])
disposal|(9, [29297, 58039, 86456, 86463, 150010, 273534, 294203, 294748, 341931])
preserver|(1, [144958])
cock-a-doodle-doo|(1, [288965])
plate|(3, [287225, 287982, 288027])
baseness|(1, [293829])
juxta-position|(1, [345781])
transaction|(3, [310912, 331485, 333195])
delirium|(10, [5513, 81215, 137535, 138249, 175308, 187067, 209052, 260609, 356709, 360260])
aristocracy|(2, [269871, 283844])
landscape-gardener|(1, [150749])
chess|(16, [37892, 37961, 38229, 38260, 94051, 345778, 345833, 345909, 347288, 347366, 348558, 350583, 352747, 353178, 353205, 353277])
billow|(2, [78433, 136798])
desperate|(2, [307778, 324266])
great-coat|(1, [267236])
want|(19, [7781, 15311, 17660, 68218, 72850, 74557, 106391, 117570, 117576, 129057, 129476, 187352, 188568, 194598, 215408, 234322, 269440, 298395, 310782])
bereft|(1, [303200])
accession|(2, [34946, 254310])
shicken|(1, [314966])
turbulent|(1, [356392])
enigma|(10, [5912, 31886, 32045, 33281, 34170, 37785, 104417, 150934, 324782, 342830])
speculum|(1, [19872])
hurt|(1, [184794])
stocking|(1, [336645])
ramble|(2, [170418, 254975])
berry|(4, [23470, 26112, 26284, 26503])
privy|(1, [64053])
despair|(49, [5569, 50441, 56991, 80772, 80859, 83496, 83670, 93602, 99589, 113226, 124446, 126501, 142112, 142222, 142461, 143746, 144825, 148239, 148253, 152725, 165606, 176678, 177042, 178901, 179407, 182789, 184394, 186883, 187659, 193414, 201864, 205900, 207592, 209011, 209979, 210353, 210829, 215148, 234118, 234652, 234743, 256663, 259694, 261373, 272569, 313955, 327790, 329250, 360215])
rebellion|(3, [161736, 230994, 291550])
telescope|(10, [5741, 12838, 19863, 19884, 21225, 33905, 33924, 33981, 34144, 76211])
rouge|(2, [265671, 266542])
swarthiness|(1, [69369])
massacre|(4, [36081, 36844, 243321, 257570])
strangeness|(5, [152530, 246457, 246491, 246889, 344345])
hack|(1, [267241])
connoisseur|(1, [334047])
handful|(2, [11323, 190530])
breeding|(4, [260251, 260931, 286837, 333757])
church|(8, [62025, 119923, 160663, 160660, 300783, 303876, 305013, 322592])
famine|(5, [179423, 184493, 209396, 212198, 235637])
pumpkin|(1, [288516])
cure|(1, [286257])
askant|(1, [17331])
assassination|(6, [52202, 57986, 65025, 67183, 82677, 115349])
incapacity|(2, [282333, 329697])
pork|(2, [275434, 275568])
meridian|(4, [222424, 222733, 222781, 223659])
fourteenth|(7, [15488, 205634, 224151, 225674, 324522, 325002, 328715])
crow|(5, [280449, 288966, 310085, 316688, 317391])
visitation|(3, [130787, 201452, 359693])
topsail|(2, [217877, 218047])
omission|(1, [108628])
levity|(4, [41320, 73838, 73845, 136428])
vita|(1, [137778])
spicy|(1, [142595])
stir|(1, [196326])
breath|(67, [128, 4654, 8565, 8741, 9906, 49602, 56663, 59497, 61038, 77207, 77402, 77865, 78526, 91353, 94229, 98528, 110755, 114022, 114516, 116975, 120753, 121875, 122849, 127834, 131265, 138924, 141534, 143271, 143315, 163804, 169661, 182190, 182909, 196035, 201275, 203409, 203529, 206058, 207389, 212736, 218947, 255606, 265878, 280823, 300571, 304079, 314114, 324055, 328354, 329195, 329192, 329200, 329442, 329578, 330381, 330679, 331676, 332161, 332174, 332441, 332497, 332642, 332749, 332899, 333075, 335915, 356085])
heart|(143, [4429, 7725, 17271, 23370, 24317, 24929, 49886, 65733, 65830, 65917, 67583, 69906, 70512, 86067, 97784, 97882, 98630, 100928, 105070, 112135, 112259, 112357, 112849, 112928, 113092, 114545, 115422, 115467, 116037, 116370, 120792, 121521, 122562, 125670, 128925, 129764, 131069, 133955, 134495, 134659, 137427, 138593, 138599, 138680, 138903, 139116, 141812, 141986, 142788, 142994, 144977, 146326, 146496, 148105, 148234, 148365, 159170, 164794, 166608, 168594, 168914, 168962, 169054, 169129, 169177, 169355, 169867, 170436, 171450, 171573, 174207, 175022, 175072, 175270, 175438, 177308, 183545, 184289, 185717, 206809, 211057, 212488, 234224, 234328, 240842, 246046, 248181, 250717, 250942, 251287, 252256, 252824, 253834, 258156, 259953, 260784, 260846, 261388, 261867, 261984, 262039, 262836, 264791, 265407, 272621, 273263, 278025, 279051, 288355, 292986, 293270, 293979, 296034, 299143, 300880, 302602, 302902, 304558, 306607, 307897, 312107, 316447, 318419, 321358, 323950, 324033, 324396, 324623, 325405, 326408, 326510, 329728, 330050, 334625, 339291, 354160, 355128, 356679, 356825, 357217, 357561, 358490, 360020])
rat|(12, [2014, 89985, 90112, 90124, 90127, 227110, 304153, 304173, 304199, 304212, 306620, 316090])
resting-place|(1, [240160])
reluctance|(5, [70472, 165402, 211959, 258312, 311756])
long-boat|(1, [328604])
tuft|(2, [48236, 48606])
shouting|(1, [360339])
apparatus|(18, [3587, 3993, 4209, 7118, 7160, 8249, 9419, 9922, 9925, 11521, 13508, 14766, 16038, 16872, 17159, 72467, 74024, 103741])
prostrate|(8, [50892, 126493, 131358, 139889, 146782, 183755, 253906, 283029])
gummy|(1, [232153])
pique|(4, [161917, 165423, 192745, 284024])
edit|(1, [274882])
hippodrome|(6, [36076, 36923, 37021, 37296, 37360, 37523])
propelling|(3, [72155, 72209, 72279])
makesetai|(1, [302640])
lifting|(1, [211899])
immolation|(2, [40629, 126795])
permission|(5, [43896, 43894, 73672, 92207, 196554])
solitude|(18, [65770, 120986, 123023, 123506, 123570, 123651, 123742, 123854, 131498, 131625, 132216, 132233, 152881, 153384, 183275, 248491, 255176, 268265])
sea-gull|(2, [80157, 207762])
bellowing|(1, [80969])
cleverness|(1, [4955])
force|(57, [2527, 2763, 4582, 5188, 6832, 7488, 7525, 9804, 18702, 20206, 27078, 30327, 45847, 47837, 51617, 58371, 66834, 69495, 72106, 72156, 74343, 74900, 104107, 106835, 116786, 118170, 121090, 121497, 129587, 136317, 142983, 151446, 152469, 164068, 173448, 178583, 187676, 194925, 195628, 203361, 204082, 204241, 206317, 211578, 218924, 233534, 242902, 246572, 254898, 259222, 271896, 284458, 286055, 296105, 314122, 325254, 344321])
luxuriance|(4, [154732, 157560, 158606, 359895])
satisfactory|(2, [53718, 297244])
equivalent|(1, [44207])
picul|(4, [231917, 232463, 232477, 232571])
drunkard|(2, [88926, 117830])
kick|(3, [275707, 293919, 298172])
-the|(2, [243658, 244256])
owl|(4, [102421, 280486, 280533, 315005])
ride|(2, [284614, 286644])
relish|(2, [26999, 76979])
egg|(5, [220573, 227537, 228369, 297708, 297771])
sea-boat|(3, [218085, 271582, 327575])
mark|(13, [29990, 48500, 60517, 60848, 114296, 114326, 173770, 189285, 228129, 261647, 274446, 279317, 300390])
slate|(2, [55636, 61314])
expressive|(1, [125835])
judgment|(7, [52764, 64825, 64833, 112982, 274027, 274432, 345943])
crystal|(3, [157064, 315125, 315871])
placidity|(2, [247532, 248073])
corner-stone|(1, [322973])
beer|(2, [269405, 271432])
guitar|(3, [118606, 119067, 134231])
re-echo|(1, [268790])
omne|(2, [39969, 273411])
betrayal|(1, [69122])
solace|(2, [117858, 248056])
key-hole|(3, [50347, 55622, 61306])
cudgel|(4, [49523, 49853, 295057, 297279])
